,dx,saas_total,saas_total,oci_wash,oci_wash,oci_obsess,oci_obsess,oci_hoard,oci_hoard,oci_order,oci_order,oci_check,oci_check,oci_neut,oci_neut,oci_global,oci_global,fofm_ae,fofm_ae,fofm_fab,fofm_fab,fofm_fc,fofm_fc,fofm_global,fofm_global,fmps_com,fmps_com,fmps_da,fmps_da,fmps_pc,fmps_pc,fmps_pe,fmps_pe,fmps_ps,fmps_ps,fmps_total,fmps_total,pswq_total,pswq_total,bdi_total,bdi_total,efq_wtgain,efq_wtgain,efq_socialcons,efq_socialcons,efq_personal,efq_personal,efq_discomf,efq_discomf,efq_socialeat,efq_socialeat,pclc_global,pclc_global,epsi_bodydis,epsi_bodydis,epsi_bingeeat,epsi_bingeeat,epsi_cogrestraint,epsi_cogrestraint,epsi_purge,epsi_purge,epsi_restrict,epsi_restrict,epsi_exercise,epsi_exercise,epsi_negobesity,epsi_negobesity,epsi_muscle,epsi_muscle,edeq_global,edeq_global,edeq_ec,edeq_ec,edeq_wc,edeq_wc,edeq_sc,edeq_sc,edeq_restraint,edeq_restraint
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0,1,56.70539419087137,15.606366621183785,3.127659574468085,3.478978514959071,4.94468085106383,3.694695233411566,2.851063829787234,3.026794328355457,5.319148936170213,3.525889491815143,3.3106382978723405,2.9945273475590666,3.1617021276595745,3.4812411329040103,22.714893617021275,14.68586998554134,40.24896265560166,13.01906650530033,28.639004149377595,8.804732004485775,44.18672199170125,11.985859291677393,113.0746887966805,31.02006444771269,34.99148936170213,8.448937367747327,13.480851063829787,4.421520714238618,11.680851063829786,5.74198208347553,15.085106382978724,6.5091316107635375,28.14468085106383,6.312069855383979,103.38297872340425,23.93469854642194,58.826530612244895,16.31140894428732,25.66949152542373,13.346801408032555,5.884937238493724,1.5036171709862785,4.956589958158996,1.475711855262246,5.6355648535564855,1.3315541856596649,5.580195258019526,1.2778944221091653,5.100418410041841,1.4966207848941873,46.81410256410256,16.905736566823467,19.107692307692307,7.184442876067375,7.361538461538461,7.61577702078338,8.146153846153846,2.973035247150468,3.023076923076923,4.186477649566046,12.0,6.466370967426173,8.346153846153847,6.300869311823172,7.2846153846153845,6.086246555780167,2.7384615384615385,3.074157970435386,3.6489256075874335,1.329333430127366,3.011203319502075,1.4465256522632433,3.8556016597510374,1.4507683851430477,4.301719027860107,1.4387049476310152,3.427178423236515,1.7221044312698255
1,2,58.60679611650485,14.91523210377392,2.0980392156862746,2.8836546458758114,4.9411764705882355,3.350828232038446,2.5588235294117645,2.830424185904473,4.735294117647059,3.7309158943355474,2.7107843137254903,2.6147895718344913,2.553921568627451,3.0996637849975133,19.598039215686274,12.94380412019213,36.398058252427184,12.583643898815637,25.228155339805824,8.984614681268962,40.64563106796116,12.034732473028706,102.27184466019418,30.454025862187372,33.945544554455445,7.8437480221714475,12.866336633663366,4.013280868429227,11.48019801980198,5.779712671712864,15.623762376237623,6.313298741385552,28.22772277227723,5.573357354536795,102.14356435643565,21.488494738757964,62.49112426035503,13.526481233559906,23.826732673267326,11.657836525511236,6.195121951219512,1.1625173874964059,5.1640243902439025,1.339800879034128,5.661707317073171,1.2418003660858308,5.46829268292683,1.1373283877707463,4.819512195121951,1.6319751524256922,44.564516129032256,14.893247193244575,21.188235294117646,5.657894016847819,6.0,5.597618541248888,7.470588235294118,3.1869833299058907,3.635294117647059,4.303506485091767,10.952941176470588,5.7298422698164035,7.305882352941176,6.071054527940966,6.91764705882353,6.2282225636630075,2.6470588235294117,2.9669042802900396,3.6670706809293767,1.0601491605794415,2.629951690821256,1.3003627192204454,4.30048309178744,1.1670120998591142,4.631728778467909,1.103367439184222,3.1033980582524268,1.5514000307499178
